home_team,away_team,binary
42,4,0
4,42,1
42,4,1
4,42,0
42,4,1
42,38,1
4,42,0
38,42,0
42,4,1
42,38,1
4,38,1
4,42,1
38,42,0
42,4,1
38,4,0
42,38,1
4,38,0
4,42,0
38,42,0
70,4,0
38,70,1
42,4,1
38,4,1
42,38,1
4,38,1
4,70,1
4,42,0
38,42,0
70,38,0
70,42,0
38,70,1
70,4,0
42,4,1
38,4,0
42,38,1
4,70,1
4,38,0
42,70,1
4,42,0
38,42,0
70,38,0
38,70,1
70,4,0
70,42,0
42,4,0
38,4,0
42,38,1
4,70,1
42,70,1
4,38,1
70,38,1
4,42,0
38,42,0
4,38,1
38,70,1
42,38,1
42,4,0
70,42,0
70,4,0
4,38,1
4,70,1
42,70,1
4,42,0
38,42,0
70,38,0
38,70,1
70,4,0
38,4,0
42,38,1
70,42,0
42,4,0
70,38,1
4,38,1
4,70,1
38,42,0
42,70,1
4,42,1
38,70,0
70,4,0
38,4,0
70,42,0
42,38,1
42,4,0
4,70,1
4,38,1
38,42,0
42,70,1
4,42,1
38,70,1
70,4,0
38,4,0
42,38,1
70,42,0
42,4,0
4,70,1
70,38,0
4,38,0
38,42,0
42,70,1
4,42,1
38,70,1
70,4,0
38,4,0
42,38,1
70,42,0
42,4,1
4,70,1
70,38,1
38,42,0
42,70,1
4,38,1
4,42,0
38,70,0
70,4,0
42,38,1
70,42,0
38,4,0
42,4,0
4,70,1
70,38,1
38,42,0
4,38,1
42,70,1
4,42,1
42,38,1
38,70,1
70,42,0
70,4,0
38,4,0
42,4,1
42,70,1
38,42,0
4,70,1
4,38,1
70,38,0
4,42,0
38,70,0
70,42,0
38,4,0
42,38,1
70,4,0
4,42,0
23,39,1
4,70,1
4,38,1
38,42,0
42,70,0
70,38,1
4,42,0
39,23,1
23,39,1
38,4,0
70,4,0
42,38,0
38,70,0
70,42,0
42,4,0
8,3,0
39,23,1
23,39,1
3,14,1
4,70,0
38,42,1
42,70,1
4,38,1
4,42,1
70,38,0
39,23,0
8,9,0
8,3,1
9,8,1
70,4,0
42,38,0
70,42,0
38,4,0
38,70,0
42,4,1
3,8,0
8,9,1
9,8,0
39,23,1
4,70,1
70,38,0
38,42,1
42,70,1
4,38,0
4,42,0
8,9,0
8,3,0
23,39,1
9,8,0
39,23,1
70,4,0
42,38,1
14,3,0
70,42,0
38,4,0
8,9,0
42,4,0
14,12,1
38,70,0
3,8,0
9,8,1
23,39,1
9,3,1
23,4,0
23,12,1
23,4,0
39,4,0
37,19,1
3,21,0
9,37,1
9,37,1
8,37,1
39,23,1
4,70,1
38,42,1
4,38,1
42,70,1
70,38,0
8,9,0
4,42,1
12,14,1
39,12,0
9,8,1
23,39,0
8,3,1
39,4,0
39,23,0
39,4,0
23,4,0
39,23,0
